Signal (dBm),Speed (m/s),Distance from site (m),Call Test Duration (s),Call Test Result,Call Test Technology,Call Test Setup Time (s),MOS
-105,0,827.92,90,1,2,0.38,4
-105,0,828.12,90,1,2,0.42,4
-105,0,828.29,90,1,2,0.44,4
-105,0,828.52,90,1,2,0.4,4
-91,29.87999916,3145.47,600,1,1,0,2
-105,0,828.64,90,1,2,0.41,4
-105,0,828.56,90,1,2,0.42,4
-89,14.81999969,485.64,60,1,1,4.35,4
-105,0,828.55,90,1,2,0.54,4
-105,0,828.43,90,1,2,0.45,4
-87,29.32999992,2439.65,600,1,1,0,2
-105,0,828.53,90,1,2,0.49,4
-83,30.67000008,1614.12,60,1,1,2.46,4
-105,0,828.39,90,1,2,0.47,4
-105,0,827.89,90,1,2,0.46,4
-85,30.05999947,3920.77,600,1,0,0,2
-105,0,827.68,90,1,2,0.52,4
-105,0,827.7,90,1,2,0.39,4
-103,29.94000053,3557.15,347.79,0,1,0,3
-105,0,827.82,90,1,2,0.47,4
-105,0,827.96,90,1,2,0.46,4
-73,32.59000015,1426.57,60,1,1,4.23,3
-105,0,828.08,90,1,2,0.43,4
-105,0,828.52,90,1,2,0.45,4
-105,0,828.62,90,1,2,0.42,4
-71,33.00999832,637.19,60,1,1,4.81,4
-105,0,828.54,90,1,2,0.76,4
-105,0,828.67,90,1,2,0.56,4
-93,15.97000027,1025.99,60,1,1,4.22,2
-105,0,828.58,90,1,2,0.44,4
-105,0,828.39,90,1,2,0.4,4
-105,0,828.4,90,1,2,0.48,4
-105,0,828.89,90,1,2,0.41,4
-105,0,829.53,90,1,2,0.48,4
-81,0,131.28,60,1,1,3.99,3
-83,29.97999954,11769.16,600,1,0,0,2
-105,0,829.64,90,1,2,0.46,4
-75,30.77000046,1544,61.37,0,1,0,4
-105,0,829.69,90,1,2,0.48,4
-105,0,829.62,90,1,2,0.43,4
-105,0,829.57,90,1,2,0.42,4
-65,27.53000069,506.81,60,1,1,3.99,3
-105,0,829.53,90,1,2,0.48,4
-87,30.01000023,5865.35,600,1,0,0,2
-105,0,829.5,90,1,2,0.41,4
-105,0,829.42,90,1,2,0.47,4
-67,0,218.09,60,1,1,3.7,3
-105,0,829.32,90,1,2,0.39,4
-105,0,829.09,90,1,2,0.49,4
-79,29.71999931,602.09,600,1,0,0,2
-105,0,828.91,90,1,2,0.41,4
-105,0,828.84,90,1,2,0.39,4
-89,36.52000046,1981.29,60,1,1,7.35,3
-105,0,828.87,90,1,2,0.44,4
-105,0,828.85,90,1,2,0.47,4
-65,0,10109.64,600,1,0,0,3
-79,34.95000076,2559.22,60,1,1,4.07,3
-105,0,828.81,90,1,2,0.52,4
-63,10.35999966,69.72,60,1,1,3.62,3
-105,0,828.77,90,1,2,0.43,4
-105,0,828.93,90,1,2,0.45,4
-107,0,829.07,90,1,2,0.5,4
-81,5.300000191,306.51,60,1,1,3.63,3
-85,29.87999916,4981.55,600,1,1,0,2
-107,0,829.03,90,1,2,0.37,4
-107,0,828.93,90,1,2,0.4,4
-83,0,62.67,60,1,1,4.02,3
-107,0,828.91,90,1,2,0.44,4
-107,0,828.83,90,1,2,0.41,4
-75,0,715.12,60,1,1,4.16,3
-85,17,3295.75,600,1,0,0,2
-105,0,828.97,90,1,2,0.49,4
-105,0,829.17,90,1,2,0.46,4
-73,0,711.94,60,1,1,3.44,3
-105,0,829.33,90,1,2,0.41,4
-105,0,829.44,90,1,2,0.46,4
-105,0,829.53,90,1,2,0.42,4
-85,24.65999985,482.53,60,1,1,3.66,3
-105,0,829.63,90,1,2,0.49,4
-105,0,829.68,90,1,2,0.4,4
-109,13,374.52,599.63,1,2,0,4
-105,0,829.56,90,1,2,0.43,4
-73,4.809999943,558.42,60,1,1,3.52,3
-105,0,829.67,90,1,2,0.46,4
-105,0,829.75,90,1,2,0.42,4
-83,35.49000168,3108.26,60,1,1,3.65,3
-105,0,829.84,90,1,2,0.4,4
-111,2.680000067,1000.45,600,1,2,0,4
-105,0,829.78,90,1,2,0.42,4
-105,0,829.81,90,1,2,0.49,4
-105,0,829.9,90,1,2,0.52,4
-89,1.399999976,334.2,60,1,1,6.55,3
-71,0.5199999809,205.63,60,1,1,4.26,3
-105,0,829.98,90,1,2,0.44,4
-105,0,830.01,90,1,2,0.45,4
-105,0,829.96,90,1,2,0.41,4
-77,7.510000229,216.25,60,1,1,3.69,3
-105,0,829.99,90,1,2,0.47,4
-105,0,830.1,90,1,2,0.41,4
-105,0,830.25,90,1,2,0.52,4
-105,0,843.5,90,1,2,0.48,4
-97,0,250.86,60,1,1,3.86,1
-105,0,849.12,90,1,2,0.44,4
-105,0,848.17,90,1,2,0.39,4
-81,3.160000086,362.72,60,1,1,3.02,3
-105,0.4399999976,841.58,90,1,2,0.51,4
-105,0,831.13,90,1,2,0.48,4
-105,0,835.33,90,1,2,0.37,4
-105,0,832.2,90,1,2,0.42,4
-73,6.019999981,69.5,60,1,1,3.82,3
-105,0,832.34,90,1,2,0.47,4
-105,0,832.05,90,1,2,0.45,4
-65,0.75,244.67,60,1,1,3.74,3
-105,0,831.96,90,1,2,0.46,4
-93,13.31000042,1232.07,60,1,1,3.76,3
-105,0,832.12,90,1,2,0.38,4
-61,41.70000076,246.9,60,1,1,4.03,2
-107,0,831.67,90,1,2,0.44,4
-107,0,831.97,90,1,2,0.41,4
-89,22.37000084,1209.39,60,1,1,4.02,4
-81,32.27000046,388.72,60,1,1,4.38,3
-107,0,831.66,90,1,2,0.44,4
-73,0,570.32,60,1,1,3.8,3
-107,0,831.17,90,1,2,0.51,4
-107,0,831.28,90,1,2,0.48,4
-73,2.970000029,790.07,60,1,1,3.92,3
-107,0,831.58,90,1,2,0.41,4
-107,0,831.94,90,1,2,0.48,4
-107,0,831.85,90,1,2,0.37,4
-107,0,831.56,90,1,2,0.44,4
-63,0,325.31,60,1,1,3.76,3
-65,0,717.53,60,1,1,3.85,3
-107,0,831.5,90,1,2,0.44,4
-107,0,831.65,90,1,2,0.45,4
-105,0,831.41,90,1,2,0.43,4
-63,0,326.07,60,1,1,3.52,1
-105,0,831.15,90,1,2,0.42,4
-105,0,830.74,90,1,2,0.44,4
-59,13.60999966,98.88,60,1,1,3.6,3
-69,0,714.64,60,1,1,3.41,3
-63,0,325.2,60,1,1,3.67,3
-105,0,830.52,90,1,2,0.45,4
-105,0,830.53,90,1,2,0.4,4
-95,0.3799999952,215.32,60,1,1,3.93,3
-105,0,830.4,90,1,2,0.39,4
-105,0,830.01,90,1,2,0.4,4
-105,0,829.84,90,1,2,0.42,4
-69,0,328.62,60,1,1,3.79,4
-105,0,829.69,90,1,2,0.43,4
-107,0,829.5,90,1,2,0.52,4
-67,0,716.78,60,1,1,4.11,3
-107,0,829.47,90,1,2,0.4,4
-107,0,829.65,90,1,2,0.43,4
-69,0,715.93,60,1,1,3.9,3
-71,0,321.52,60,1,1,3.78,4
-107,0,829.63,90,1,2,0.45,4
-67,8.399999619,174.98,60,1,1,3.9,3
-107,0,829.79,90,1,2,0.4,4
-107,0,829.78,90,1,2,0.42,4
-65,7.179999828,200.39,60,1,1,3.53,3
-107,0,829.8,90,1,2,0.44,4
-107,0,829.81,90,1,2,0.47,4
-107,0,829.94,90,1,2,0.53,4
-63,0.7099999785,93.51,60,1,1,3.65,3
-107,0,830.03,90,1,2,0.42,4
-73,9.920000076,588.28,60,1,1,6.58,3
-107,0,829.96,90,1,2,0.46,4
-69,0,109.84,60,1,1,4.06,3
-106,0,830.04,90,1,2,0.45,4
